key,城市,景点名称,星级,简介
c0a644a0e685a7f94dc6b61b94747cef,厦门,曾厝垵Zeng Cuo An Village,88,厦门文创新地标，美食与文化的激情碰撞，去寻找文艺外表下充满生命力的古朴村落。
ddcfafc3044e88726b7944ef7fb7bbc0,厦门,鼓浪屿Gulangyu Island,88,世界文化遗产，特色店铺众多，建筑漂亮，生活气息和文艺范儿并重。
543d75b28ea81c939d7bf7c68dc35f44,厦门,厦门园林植物园Xiamen Botanical Garden,92,环境很好的植物园，有多种稀有植物景观，也适合周末爬山休闲。
2c2d72f1613279c49b36223791553456,厦门,厦门科技馆Xiamen Science and Technology Museum,92,可以带孩子来这里感受新科技带来的乐趣，开拓孩子们的视野。
e91e55b178ece86c142b9549d6216347,厦门,中山路步行街Zhongshan Road Pedestrian Street,90,厦门地标式商业街，欣赏连排的骑楼式建筑，搜罗地道的闽南小吃，感受鹭岛的独特魅力。
ec8c39821d0aa59f6d0685326a853fb9,厦门,环岛路Huandao Road,94,享受海边骑行的快乐，边骑边看美丽风景。
4e37b6bc4bc84f615657ccb67a6610b1,厦门,南普陀寺South Putuo Temple,92,全国闻名的佛教寺院，寺内的素斋和素饼都获过奖，还可登高望远。
6fe460ec87976a4784c88a8fc8df5dde,厦门,椰风寨Yefeng Village,88,很长的免费沙滩，游客不多，可以远眺金门岛。
a7248401a04b2d91dc45c0dbd6f59843,厦门,厦门大学Xiamen University,92,依山傍海，中西结合的独特建筑风格，被誉为中国最美的大学之一。
b9875e5254cb97fef3d83a972788b4f6,厦门,白城沙滩Baicheng Beach,92,靠近厦大的免费沙滩，漫步、海边玩耍，这是天然的休闲公园。
16b4a4ea4185c96b3f9a8e4ead533b2c,厦门,集美学村Jimeixue Village,94,风格中西合璧的大学城，可以在校园里感受浓重的学术氛围。
c57bc2f92498f4f29f4dda0ca53c42a1,厦门,菽庄花园Xinzhuang Garden,92,看闽南风格融合西洋色彩的园林景观。这里也有很好的观海点。
eaead007fd971f9be73209be99b1a373,厦门,琴园Qinyuan Garden,86,鼓浪屿核心景点之一，百鸟园就在这个景区内。
461ee9c6e7f32d0c37a4761e6514c0de,厦门,钟鼓索道Zhonggu Cableway,92,在高空中俯瞰厦门全景，在天然氧吧中任性遨游。
d284304fb95fcf614e8516f930ed2c1b,厦门,嘉庚公园Jiageng Park,92,陈嘉庚建筑群的重要组成部分，了解陈嘉庚先生的生平。
b890f0050bbe45c5b7a06ca23f56a52f,厦门,海湾公园Bay Park,94,可在公园内远眺大海，吹海风，附近的酒吧街更是泡吧族们的最爱。
c0193a035820babdca3f920a49cc4bdb,厦门,铁路文化公园Railway Culture Park,90,由铁路轨道改建的免费公园，适合散步。
0b1746fffd4f97cabe539f880b473b16,厦门,白鹭洲公园Bailuzhou Park,92,草坪修建得很漂亮，有个很大的湖，环境很好的免费公园！
19877950005d2a17771f53e65cadc630,厦门,五缘湾湿地公园Wuyuanwan Wetland Park,94,漫步木栈道，看水鸟在氤氲雾气中起落飞翔，享受城市绿肺的清新空气。
a5356215f23f43ddf9284972e157d0ce,厦门,胡里山炮台Hulishan Fort,92,这里有着大大小小的炮台，带你走近并了解那段历史。
f1ca76742a8bdead2d94fb1cab81de36,厦门,灵玲马戏城Lingling International Circus City,94,精彩绝伦的马戏艺术文化展演与独具特色的建筑文化的完美碰撞。
511e88bcb93e6e52d1fedf18dcfbf3bc,厦门,珍珠湾Pearl Bay,96,沙细水清，还有轻风拂面，来到海边千万不要错过这个沙滩浴场。
945614f025c4e0a418fac5cbe6bb4d32,厦门,翠丰温泉,84,景色优美的同安汀溪水库风景区，幽雅舒适的环境，天然纯净的温泉，汇粹了闽南地域文化。
42e87e58de54d8cb539678f52682049d,厦门,日光岩Sunlight Rock,92,鼓浪屿的最佳观景点，从上而下俯视鼓浪屿全岛及厦门市区景象。
be5347393b09563f6b295648bc3f8b35,厦门,海天堂构Sea paradise,94,看中西合并的建筑风格，随意遐想当时人们的生活。
9d5554ecbb7f5a159b436619a217fc52,厦门,厦门海底世界Xiamen Underwater World,80,有迄今为止中国发现最大的抹香鲸骨架。
8427d8b7469294302d46ac25cf5af55a,厦门,钢琴博物馆Piano museum,92,在音乐之岛鼓浪屿逛钢琴博物馆，看各种造型奇特的的古钢琴。
b7640a51a1f004ae8ac8a1f3937ee1c9,厦门,皓月园Haoyue Garden,92,看郑成功巨型石像，纪念人民英雄。
efd41fd465c8949ff7801e3db5c2a42d,厦门,八卦楼Organ Museum,90,在音乐之岛鼓浪屿逛风琴博物馆，看各种复古的风琴。
9331db7ac8de96f289255732731ea977,厦门,万国建筑博览World Architecture Expo,92,各种风格各异、中西合壁的中外建筑非常值得一看。
8f3d8bff423ec09aab2df0d2c237d871,厦门,郑成功纪念馆Zheng Chenggong Memorial Hall,92,是国内非常大的郑成功文物文献收藏中心和研究基地。
